geo_level,geo_name,year,state_name,pct_black_alone,pct_owner_occupied_black_alone,rpl_themes,quartiles_rpl_themes
county,"Sequatchie County, Tennessee",2023,Tennessee,0.5,0.2,0.504000000,26-50% of geographies
county,"Boundary County, Idaho",2023,Idaho,0.7,0.0,0.504000000,26-50% of geographies
county,"Waushara County, Wisconsin",2023,Wisconsin,1.8,0.1,0.392000000,26-50% of geographies
county,"Oldham County, Texas",2023,Texas,7.4,0.0,0.392000000,26-50% of geographies
county,"Holmes County, Ohio",2023,Ohio,0.2,0.0,0.392000000,26-50% of geographies
county,"Logan County, Kansas",2023,Kansas,0.0,0.0,0.280000000,26-50% of geographies
county,"Uinta County, Wyoming",2023,Wyoming,0.3,0.0,0.280000000,26-50% of geographies
county,"Carroll County, Virginia",2023,Virginia,0.5,0.1,0.280000000,26-50% of geographies
county,"Rutland County, Vermont",2023,Vermont,0.7,0.2,0.396000000,26-50% of geographies
county,"Kauai County, Hawaii",2023,Hawaii,0.6,0.5,0.396000000,26-50% of geographies
county,"LaGrange County, Indiana",2023,Indiana,0.3,0.0,0.396000000,26-50% of geographies
county,"Rawlins County, Kansas",2023,Kansas,0.0,0.0,0.396000000,26-50% of geographies
county,"Roger Mills County, Oklahoma",2023,Oklahoma,0.1,0.0,0.284000000,26-50% of geographies
county,"Caledonia County, Vermont",2023,Vermont,0.9,0.1,0.284000000,26-50% of geographies
county,"Aitkin County, Minnesota",2023,Minnesota,0.7,0.2,0.284000000,26-50% of geographies
county,"Tuscola County, Michigan",2023,Michigan,1.1,0.4,0.284000000,26-50% of geographies
county,"White County, Illinois",2023,Illinois,0.7,0.0,0.400000000,26-50% of geographies
county,"Seminole County, Florida",2023,Florida,11.9,7.3,0.400000000,26-50% of geographies
county,"Boone County, West Virginia",2023,West Virginia,0.4,0.2,0.400000000,26-50% of geographies
county,"Richardson County, Nebraska",2023,Nebraska,1.2,0.0,0.288000000,26-50% of geographies
county,"Grant County, Kentucky",2023,Kentucky,0.8,0.0,0.288000000,26-50% of geographies
county,"Kiowa County, Kansas",2023,Kansas,0.8,0.0,0.288000000,26-50% of geographies
county,"Sangamon County, Illinois",2023,Illinois,12.7,4.9,0.404000000,26-50% of geographies
county,"Northampton County, Pennsylvania",2023,Pennsylvania,5.9,3.0,0.404000000,26-50% of geographies
county,"Alpine County, California",2023,California,0.0,0.0,0.404000000,26-50% of geographies
county,"Fountain County, Indiana",2023,Indiana,0.8,0.0,0.292000000,26-50% of geographies
county,"Logan County, Illinois",2023,Illinois,6.0,0.2,0.292000000,26-50% of geographies
county,"Goshen County, Wyoming",2023,Wyoming,0.8,0.0,0.292000000,26-50% of geographies
county,"Macomb County, Michigan",2023,Michigan,12.5,5.9,0.408000000,26-50% of geographies
county,"Eddy County, North Dakota",2023,North Dakota,0.0,0.0,0.408000000,26-50% of geographies
county,"Greene County, New York",2023,New York,4.4,1.4,0.408000000,26-50% of geographies
county,"Irion County, Texas",2023,Texas,0.0,0.0,0.296000000,26-50% of geographies
county,"Norfolk County, Massachusetts",2023,Massachusetts,7.2,3.8,0.296000000,26-50% of geographies
county,"Callahan County, Texas",2023,Texas,1.7,1.8,0.296000000,26-50% of geographies
county,"Bonner County, Idaho",2023,Idaho,0.3,0.0,0.412000000,26-50% of geographies
county,"Prince William County, Virginia",2023,Virginia,20.5,18.2,0.412000000,26-50% of geographies
county,"Wayne County, Ohio",2023,Ohio,1.2,0.5,0.412000000,26-50% of geographies
county,"Somerset County, Maine",2023,Maine,0.5,0.3,0.300000000,26-50% of geographies
county,"Collin County, Texas",2023,Texas,10.7,7.2,0.300000000,26-50% of geographies
county,"Logan County, Oklahoma",2023,Oklahoma,6.5,2.6,0.300000000,26-50% of geographies
county,"Columbiana County, Ohio",2023,Ohio,1.9,0.9,0.416000000,26-50% of geographies
county,"Essex County, Vermont",2023,Vermont,0.1,0.0,0.416000000,26-50% of geographies
county,"Tipton County, Tennessee",2023,Tennessee,18.6,13.7,0.416000000,26-50% of geographies
county,"Middlesex County, Virginia",2023,Virginia,15.1,13.8,0.304000000,26-50% of geographies
county,"Clinton County, Ohio",2023,Ohio,1.9,1.8,0.304000000,26-50% of geographies
county,"Kalkaska County, Michigan",2023,Michigan,0.9,0.2,0.304000000,26-50% of geographies
county,"Little River County, Arkansas",2023,Arkansas,19.6,18.0,0.420000000,26-50% of geographies
county,"Phillips County, Colorado",2023,Colorado,0.0,0.0,0.420000000,26-50% of geographies
county,"Garden County, Nebraska",2023,Nebraska,0.1,0.0,0.420000000,26-50% of geographies
county,"Morton County, Kansas",2023,Kansas,1.3,0.5,0.308000000,26-50% of geographies
county,"Kenton County, Kentucky",2023,Kentucky,4.2,1.9,0.308000000,26-50% of geographies
county,"Roane County, Tennessee",2023,Tennessee,2.4,2.2,0.308000000,26-50% of geographies
county,"Watauga County, North Carolina",2023,North Carolina,2.2,0.1,0.424000000,26-50% of geographies
county,"Boone County, Missouri",2023,Missouri,9.5,3.9,0.424000000,26-50% of geographies
county,"Berkshire County, Massachusetts",2023,Massachusetts,2.5,0.7,0.424000000,26-50% of geographies
county,"Bollinger County, Missouri",2023,Missouri,0.6,0.0,0.424000000,26-50% of geographies
county,"Bryan County, Georgia",2023,Georgia,14.0,12.9,0.312000000,26-50% of geographies
county,"Flagler County, Florida",2023,Florida,9.4,6.5,0.312000000,26-50% of geographies
county,"Koochiching County, Minnesota",2023,Minnesota,0.6,0.0,0.312000000,26-50% of geographies
county,"Crawford County, Indiana",2023,Indiana,0.3,0.1,0.312000000,26-50% of geographies
county,"Asotin County, Washington",2023,Washington,0.9,0.4,0.428000000,26-50% of geographies
county,"San Juan County, Colorado",2023,Colorado,0.0,0.0,0.428000000,26-50% of geographies
county,"Southampton County, Virginia",2023,Virginia,29.8,23.2,0.428000000,26-50% of geographies
county,"Dawes County, Nebraska",2023,Nebraska,1.4,0.0,0.316000000,26-50% of geographies
county,"Schuyler County, New York",2023,New York,1.1,0.5,0.316000000,26-50% of geographies
county,"Caldwell County, Missouri",2023,Missouri,1.2,0.7,0.316000000,26-50% of geographies
