geo_level,geo_name,year,state_name,pct_black_alone,pct_homeownership_black_alone,median_home_value_owner_occupied_houses_with_mortages,median_home_value_owner_occupied_houses_without_mortages,quartiles_median_home_value_owner_occupied_houses_with_mortages,quartiles_median_home_value_owner_occupied_houses_without_mortages
zcta,48221,2023,,85.5,63.9,147000.0,125800.0,Bottom 25% of geographies,26-50% of geographies
zcta,72853,2023,,0.9,100.0,97000.0,127400.0,Bottom 25% of geographies,26-50% of geographies
zcta,45211,2023,,37.5,22.8,165700.0,129600.0,26-50% of geographies,26-50% of geographies
zcta,44820,2023,,1.2,,137000.0,130300.0,Bottom 25% of geographies,26-50% of geographies
zcta,46001,2023,,1.0,0.0,140700.0,131600.0,Bottom 25% of geographies,26-50% of geographies
zcta,50531,2023,,0.0,,,133200.0,,26-50% of geographies
zcta,68624,2023,,0.0,,195100.0,134000.0,26-50% of geographies,26-50% of geographies
zcta,75684,2023,,10.8,57.9,156000.0,134100.0,Bottom 25% of geographies,26-50% of geographies
zcta,18832,2023,,0.4,,147400.0,136000.0,Bottom 25% of geographies,26-50% of geographies
zcta,54460,2023,,0.3,100.0,164200.0,136800.0,26-50% of geographies,26-50% of geographies
zcta,56384,2023,,0.0,,134600.0,137500.0,Bottom 25% of geographies,26-50% of geographies
zcta,77485,2023,,9.7,89.4,266900.0,137900.0,51-75% of geographies,26-50% of geographies
zcta,31833,2023,,44.7,62.8,130500.0,139700.0,Bottom 25% of geographies,26-50% of geographies
zcta,38049,2023,,48.8,51.6,153700.0,140800.0,Bottom 25% of geographies,26-50% of geographies
zcta,62571,2023,,0.0,,150000.0,141100.0,Bottom 25% of geographies,26-50% of geographies
zcta,05867,2023,,0.0,,213000.0,142500.0,26-50% of geographies,26-50% of geographies
zcta,56149,2023,,0.0,,155100.0,143300.0,Bottom 25% of geographies,26-50% of geographies
zcta,54410,2023,,0.1,,218400.0,143900.0,26-50% of geographies,26-50% of geographies
zcta,46913,2023,,0.0,,172400.0,144000.0,26-50% of geographies,26-50% of geographies
zcta,55335,2023,,1.4,0.0,124000.0,144100.0,Bottom 25% of geographies,26-50% of geographies
zcta,48060,2023,,7.3,39.4,152800.0,150300.0,Bottom 25% of geographies,26-50% of geographies
zcta,36303,2023,,41.1,37.9,191800.0,150400.0,26-50% of geographies,26-50% of geographies
zcta,54153,2023,,0.6,,170600.0,152300.0,26-50% of geographies,26-50% of geographies
zcta,48186,2023,,23.3,49.4,172000.0,154100.0,26-50% of geographies,26-50% of geographies
